JobDiva Field,SharePoint Field
ACTIVITYID,ACTIVITYID
DATECREATED,DATECREATED
DATEUPDATED,DATEUPDATED
DATEUSERFIELDUPDATED,DATEUSERFIELDUPDATED
INTERVIEWSCHEDULEDATE,INTERVIEWSCHEDULEDATE
CANDIDATEID,CANDIDATEID
CANDIDATEFIRSTNAME,CANDIDATEFIRSTNAME
CANDIDATELASTNAME,CANDIDATELASTNAME
CANDIDATEEMAIL,CANDIDATEEMAIL
JOBREFERENCENUMBER,JOBREFERENCENUMBER
JOBTITLE,JOBTITLE
DIVISION,DIVISION
COMPANYNAME,COMPANYNAME
SUBMITTALDATE,SUBMITTALDATE
INTERVIEWDATE,INTERVIEWDATE
INTERVIEW_TIMEZONEID,INTERVIEW_TIMEZONEID
L1 Interview Status,L1 Interview Status 
